File_name,airplane_title,max_speed_kmph,error,range_km
0-List_of_aircraft.html,['List of aircraft - Wikipedia'],,1,
1-List_of_aircraft_(0%E2%80%93Ah).html,['List of aircraft (0–Ah) - Wikipedia'],,1,
10-List_of_aircraft_(Ai%E2%80%93Am).html,['List of aircraft (Ai–Am) - Wikipedia'],,1,
100-List_of_aircraft_(Tr).html,['List of aircraft (Tr) - Wikipedia'],,1,
1000-Breguet_4.html,['Bréguet 4 - Wikipedia'],138,0,399
10000-Nieuport_82.html,['Nieuport 14 - Wikipedia'],,1,
10001-Nieuport_140.html,['Loire-Nieuport LN.401 - Wikipedia'],380,0,1200
10002-Nieuport_160.html,['Loire-Nieuport 161 - Wikipedia'],478,0,
10003-Nieuport_Madon.html,['Nieuport Madon - Wikipedia'],220,0,
10004-Nieuport_monoplane.html,['Nieuport - Wikipedia'],,1,
10005-Nieuport_Scout.html,['Nieuport 17 - Wikipedia'],170,0,
10006-Nieuport_83.html,['Nieuport 10 - Wikipedia'],140,0,300
10007-Nieuport_Triplane.html,['Nieuport Triplane - Wikipedia'],,1,
10008-Nieuport_%26_General_Aircraft.html,['Nieuport &amp; General Aircraft - Wikipedia'],,1,
10009-Nieuport-Delage_NiD_30.html,['Nieuport-Delage NiD 30 - Wikipedia'],172,0,420
1001-Breguet_5.html,['Bréguet 5 - Wikipedia'],136,0,700
10010-Nieuport_Nighthawk.html,['Nieuport Nighthawk - Wikipedia'],243,0,
10011-Nieuport-Delage_Sesquiplan.html,['Nieuport-Delage Sesquiplan - Wikipedia'],300,0,400
10012-Nieuport_B.N.1.html,['Nieuport B.N.1 - Wikipedia'],204,0,
10013-Nieuport-Delage_NiD_31.html,['Nieuport 31 - Wikipedia'],230,0,
10014-Nieuport_London.html,['Nieuport London - Wikipedia'],160,0,
10015-Nieuport_Nightjar.html,['Gloster Nightjar - Wikipedia'],190,0,
10016-Nieuport-Delage.html,['Nieuport - Wikipedia'],,1,
10017-Nieuport-Delage_NiD_32.html,['Nieuport-Delage NiD 32 - Wikipedia'],193,0,600
10018-Nieuport-Delage_NiD_37.html,['Nieuport-Delage NiD 37 - Wikipedia'],250,0,
10019-Nieuport-Delage_NiD_38.html,['Nieuport-Delage NiD 38 - Wikipedia'],160,0,350
1002-Breguet_6.html,['Bréguet 5 - Wikipedia'],136,0,700
10020-Nieuport-Delage_NiD_39.html,['Nieuport-Delage NiD 39 - Wikipedia'],175,0,375
10021-Nieuport-Delage_NiD_33.html,['Nieuport-Delage NiD 29 - Wikipedia'],235,0,580
10022-Nieuport-Delage_NiD_40.html,['Nieuport-Delage NiD 29 - Wikipedia'],235,0,580
10023-Nieuport-Delage_NiD_41.html,['Nieuport-Delage Sesquiplan - Wikipedia'],300,0,400
10024-Nieuport-Delage_NiD_42.html,['Nieuport-Delage NiD 42 - Wikipedia'],265,0,400
10025-Nieuport-Delage_NiD_43.html,['Nieuport-Delage NiD 43 - Wikipedia'],200,0,
10026-Nieuport-Delage_NiD_48.html,['Nieuport-Delage NiD 48 - Wikipedia'],276,0,
10027-Nieuport-Delage_NiD_44.html,['Nieuport-Delage NiD 42 - Wikipedia'],265,0,400
10028-Nieuport-Delage_NiD_450.html,['Nieuport-Delage NiD 450 - Wikipedia'],560,0,380
10029-Nieuport-Delage_NiD_52.html,['Nieuport-Delage NiD 52 - Wikipedia'],260,0,400
1003-Br%C3%A9guet_XI_Corsaire.html,['Bréguet 11 Corsaire - Wikipedia'],148,0,900
10030-Nieuport-Delage_NiD_46.html,['Nieuport-Delage NiD 42 - Wikipedia'],265,0,400
10031-Nieuport-Delage_NiD_481.html,['Nieuport-Delage NiD 48 - Wikipedia'],276,0,
10032-Nieuport-Delage_NiD_48bis.html,['Nieuport-Delage NiD 48 - Wikipedia'],276,0,
